EDI_WCA_680_20190130
eventcd	eventid	optionid	serialid	scexhid	actflag	changed	created	secid	issid	isin	uscode	issuername	cntryofincorp	sic	cik	indusid	sectycd	securitydesc	parvalue	pvcurrency	statusflag	primaryexchgcd	structcd	exchgcntry	exchgcd	mic	micseg	localcode	liststatus	date1type	date1	date2type	date2	date3type	date3	date4type	date4	date5type	date5	date6type	date6	date7type	date7	date8type	date8	date9type	date9	date10type	date10	date11type	date11	date12type	date12	paytype	rdid	priority	defaultopt	outturnsecid	outturnisin	ratioold	rationew	fractions	currency	rate1type	rate1	rate2type	rate2	field1name	field1	field2name	field2	field3name	field3	field4name	field4	field5name	field5	field6name	field6	field7name	field7	field8name	field8	field9name	field9	field10name	field10	field11name	field11	field12name	field12	field13name	field13	field14name	field14	field15name	field15	field16name	field16	field17name	field17	field18name	field18	field19name	field19	field20name	field20	field21name	field21	field22name	field22	field23name	field23	field24name	field24
AGM	835375	1	1	6034498	I	2018/11/08 07:10:27	2018/11/08	4240846	162829	US57667T1007	57667T100	Materialise Nv	BE	7372	0001091223	145	DR	ADR		USD	A	USNASD		US	USNASD	XNAS	XNGS	MTLS	L	AGMDate	2018/11/28	FYEDate		RecDate																							F											AGMEGM	EGM	AGMNo		AGMTime	10:00	Add1	Technologielaan 15,	Add2	3001	Add3		Add4		Add5		Add6		City	Leuven	CntryCD	BE																										
AGM	838040	1	1	46482	I	2018/12/04 13:10:19	2018/12/04	44106	40392	US92220P1057	92220P105	Varian Medical Systems, Inc.	US	3845	0000203527	58	EQS	Ordinary Shares	1	USD	A	USNYSE		US	USNYSE	XNYS		VAR	L	AGMDate	2019/02/14	FYEDate	2018/12/31	RecDate	2018/12/17																						F											AGMEGM	AGM	AGMNo		AGMTime	16:30	Add1	3100 Hansen Way,	Add2	Palo Alto,	Add3	CA 94304	Add4		Add5		Add6		City		CntryCD	US																										
AGM	838193	1	1	44648	U	2018/12/05 17:26:45	2018/12/05	42272	38615	US67020Y1001	67020Y100	Nuance Communications Inc	US	7372	0001002517	145	EQS	Ordinary Shares	0.001	USD	A	USNASD		US	USNASD	XNAS	XNGS	NUAN	L	AGMDate	2019/01/17	FYEDate	2018/09/30	RecDate	2018/11/21																						F											AGMEGM	AGM	AGMNo		AGMTime	08:00	Add1	One Wayside Road	Add2	Burlington,	Add3	MA 01803	Add4		Add5		Add6		City		CntryCD	US																										
AGM	838103	1	1	21170	U	2018/12/06 13:13:57	2018/12/05	20626	20163	DE0007236101		Siemens AG	DE	3822	0000940418	67	EQS	Registered Shares		EUR	A	DEFSX		DE	DEFSX	XFRA		SIE	L	AGMDate	2019/01/30	FYEDate	2018/09/30	RecDate	2019/01/09																						F											AGMEGM	AGM	AGMNo		AGMTime	10:00	Add1	In der OlympiahalleimOlympiapark,	Add2	Coubertinplatz, 80809,	Add3		Add4		Add5		Add6		City	Munchen.	CntryCD	DE																										
AGM	839245	1	1	36677	I	2018/12/17 07:32:43	2018/12/15	34301	30846	US1143401024	114340102	Brooks Automation, Inc.	US	3559	0000933974	135	EQS	Ordinary Shares	0.01	USD	A	USNASD		US	USNASD	XNAS	XNGS	BRKS	L	AGMDate	2019/01/30	FYEDate	2018/09/30	RecDate	2018/12/03																						F											AGMEGM	AGM	AGMNo		AGMTime	10:00	Add1	Four Seasons Hotel Boston	Add2	200 boylston street	Add3	massachusetts 02116	Add4		Add5		Add6		City	Boston	CntryCD	US																										
AGM	839775	1	1	44456	I	2018/12/21 13:11:29	2018/12/21	42080	38428	US7739031091	773903109	Rockwell Automation Inc	US	3829	0001024478	66	EQS	Ordinary Shares	1	USD	A	USNYSE		US	USNYSE	XNYS		ROK	L	AGMDate	2019/02/05	FYEDate	2018/09/30	RecDate	2018/12/10																						F											AGMEGM	AGM	AGMNo		AGMTime	17:30	Add1	Global Headquarters	Add2	1201 South Second Street	Add3	Wisconsin	Add4		Add5		Add6		City	Milwaukee	CntryCD	US																										
AGM	841256	1	1	38077	I	2019/01/14 07:32:43	2019/01/12	35701	32208	US2441991054	244199105	Deere & Co.	US	3523	0000315189	83	EQS	Ordinary Shares	1	USD	A	USNYSE		US	USNYSE	XNYS		DE	L	AGMDate	2019/02/27	FYEDate	2018/10/31	RecDate	2018/12/31																						F											AGMEGM	AGM	AGMNo		AGMTime	10:00	Add1	One John Deere Place	Add2	IL 61265	Add3		Add4		Add5		Add6		City	Moline	CntryCD	US																										
AGM	841264	1	1	20139	I	2019/01/14 07:32:43	2019/01/14	19601	19164	CH0012221716		ABB Ltd.	CH	3613	0001091587	86	EQS	Ordinary Shares	0.12000	CHF	A	CHSSX		CH	CHSSX	XSWX		ABBN	L	AGMDate	2019/05/02	FYEDate	2018/12/31	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	:	Add1		Add2		Add3		Add4		Add5		Add6		City		CntryCD	CH																										
AGM	841440	1	1	65566	I	2019/01/15 13:11:30	2019/01/15	57816	52440	JP3813200007		Nachi-Fujikoshi Corp.	JP			86	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6474	R	AGMDate	2019/02/19	FYEDate	2018/11/30	RecDate	2018/11/30																						F											AGMEGM	AGM	AGMNo		AGMTime		Add1		Add2		Add3		Add4		Add5		Add6		City		CntryCD	JP																										
AGM	841497	1	1	41603	I	2019/01/16 13:11:50	2019/01/16	39227	35636	US5339001068	533900106	Lincoln Electric Holdings, Inc.	US	3548	0000059527	86	EQS	Ordinary Shares		USD	A	USNASD		US	USNASD	XNAS	XNGS	LECO	L	AGMDate	2019/04/24	FYEDate	2018/12/31	RecDate																							F											AGMEGM	AGM	AGMNo		AGMTime	11:00	Add1	Lincoln Electric`s Welding Technology	Add2	and Training Center,	Add3	22800 St. Clair Avenue,	Add4	Ohio 44117.	Add5		Add6		City	Cleveland	CntryCD	US																										
AGM	841817	1	1	42870	I	2019/01/21 03:52:58	2019/01/19	40494	36879	US6556631025	655663102	Nordson Corp.	US	3569	0000072331	66	EQS	Ordinary Shares		USD	A	USNASD		US	USNASD	XNAS	XNGS	NDSN	L	AGMDate	2019/02/26	FYEDate	2018/10/31	RecDate	2019/02/26																						F											AGMEGM	AGM	AGMNo		AGMTime	08:00	Add1	Law offices of BakerHostetler LLP	Add2	2000 Key Tower	Add3	127 Public Square	Add4	Ohio 44114	Add5		Add6		City	Cleveland	CntryCD	US																										
AGM	842157	1	1	43430	I	2019/01/24 13:12:25	2019/01/24	41054	37428	US69370C1009	69370C100	PTC Inc	US	7372	0000857005	137	EQS	Ordinary Shares	0.01	USD	A	USNASD		US	USNASD	XNAS	XNGS	PTC	L	AGMDate	2019/03/06	FYEDate	2018/09/30	RecDate	2019/01/07																						F											AGMEGM	AGM	AGMNo		AGMTime	08:00	Add1	121 Seaport Boulevard,	Add2	Massachusetts 02210	Add3		Add4		Add5		Add6		City	Boston	CntryCD	US																										
AGM	842467	1	1	7778056	I	2019/01/28 17:34:02	2019/01/28	5706737	207639	US57778K1051	57778K105	Maxar Technologies Inc	US				EQS	Ordinary Shares		USD	A	USNYSE		US	USNYSE	XNYS		MAXR	L	AGMDate	2019/05/08	FYEDate		RecDate	2019/03/20																						F											AGMEGM	AGM	AGMNo		AGMTime	14:00	Add1	Company`s headquarters	Add2	Colorado	Add3		Add4		Add5		Add6		City	Westminster	CntryCD	US																										
ANN	51467	1	1	44648	I	2018/11/20 13:08:44	2018/11/20	42272	38615	US67020Y1001	67020Y100	Nuance Communications Inc	US	7372	0001002517	145	EQS	Ordinary Shares	0.001	USD	A	USNASD		US	USNASD	XNAS	XNGS	NUAN	L	NotificationDate	2018/11/19																										F																																																										
BB	25993	1	1	44105	U	2018/08/31 18:26:31	2018/07/31	41729	38090	US7475251036	747525103	Qualcomm, Inc.	US	3663	0000804328	68	EQS	Ordinary Shares	0.0001	USD	A	USNASD		US	USNASD	XNAS	XNGS	QCOM	L	Startdate	2018/07/31	Enddate	2018/08/27	Recdate		Paydate		Withdrawalfromdate		Withdrawaltodate	2018/08/27													C			F						USD	Minprice	60	Maxprice	67.5	OnOffFlag	F	WithdrawalRights	F																																												
BB	26811	1	1	52112	U	2018/12/04 17:24:19	2018/12/03	45808	41613	CA0019401052	001940105	ATS Automation Tooling Systems, Inc.	CA	3569	0001394832	66	EQS	Ordinary Shares		CAD	A	CATSE		CA	CATSE	XTSE		ATA	L	Startdate	2018/12/05	Enddate	2019/12/04	Recdate	2018/11/16	Paydate		Withdrawalfromdate		Withdrawaltodate														C	5363225	1	F						CAD	Minprice		Maxprice		OnOffFlag	N	WithdrawalRights	F																																												
BB	26950	1	1	286570	I	2018/12/21 07:15:44	2018/12/21	193580	87078	FI0009013429		Cargotec Corporation	FI	3537	0001436741	86	EQS	Ordinary Shares - Class B		EUR	A	FIHSE		FI	FIHSE	XHEL		CGCBV	L	Startdate	2018/12/20	Enddate		Recdate		Paydate		Withdrawalfromdate		Withdrawaltodate																	F							Minprice		Maxprice		OnOffFlag	N	WithdrawalRights	F																																												
CONSD	4990169	1	1	65999	U	2018/11/08 13:09:10	2018/05/16	58219	52841	JP3592600005		Toshiba Machine Co. Ltd	JP			86	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6104	L	ExDate	2018/09/26	Recdate	2018/09/30	Paydate	2018/10/01																			S	4990169	2	F			5	1							OldParvalue		NewParvalue		Currency	JPY																																										
DIV	1255520	1	1	65566	I	2019/01/15 13:11:30	2018/01/11	57816	52440	JP3813200007		Nachi-Fujikoshi Corp.	JP			86	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6474	R	ExDate	2018/11/28	Recdate	2018/11/30	Paydate	2019/02/20	Paydate2		FYEDate	2018/11/30	PeriodEndDate	2018/11/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/01/11	Exdate2		FXDate		C	4769884	1	F						JPY	GrossDividend	100	NetDividend	79.685	Marker	FNL	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	20.315	Depfees		Coupon	0	Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1275610	1	1	286570	U	2018/09/19 08:15:47	2018/02/09	193580	87078	FI0009013429		Cargotec Corporation	FI	3537	0001436741	86	EQS	Ordinary Shares - Class B		EUR	A	FIHSE		FI	FIHSE	XHEL		CGCBV	L	ExDate	2018/03/21	Recdate	2018/03/22	Paydate	2018/03/29	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/06/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4824571	1	F						EUR	GrossDividend	0.53	NetDividend	0.42612	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	19.6	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1275699	1	1	144992	U	2018/07/31 14:13:11	2018/02/09	107987	76338	JP3651210001		Nabtesco Corp.	JP	3728	0001550807	83	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6268	R	ExDate	2018/06/27	Recdate	2018/06/30	Paydate	2018/08/31	Paydate2		FYEDate	2018/12/31	PeriodEndDate	2018/06/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/02/09	Exdate2		FXDate		C	4824736	1	F						JPY	GrossDividend	36	NetDividend	28.6866	Marker	INT	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	20.315	Depfees		Coupon	0	Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1275700	1	1	144992	U	2018/12/24 13:17:18	2018/02/09	107987	76338	JP3651210001		Nabtesco Corp.	JP	3728	0001550807	83	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6268	R	ExDate	2018/12/26	Recdate	2018/12/31	Paydate		Paydate2		FYEDate	2018/12/31	PeriodEndDate	2018/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/02/09	Exdate2		FXDate		C	4824737	1	F						JPY	GrossDividend	37	NetDividend	29.48345	Marker	FNL	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	T	TaxRate	20.315	Depfees		Coupon	0	Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1262353	1	1	6015	U	2018/09/19 14:18:52	2018/01/25	6016	5785	GB0007323586		Renishaw plc	GB	3545	0001584392	35	EQS	Ordinary Shares	0.20000	GBP	A	GBLSE		GB	GBLSE	XLON		RSW	L	ExDate	2018/09/20	Recdate	2018/09/21	Paydate	2018/10/23	Paydate2		FYEDate	2018/06/30	PeriodEndDate	2018/06/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/01/25	Exdate2		FXDate		C	4790215	1	F						GBP	GrossDividend	0.46	NetDividend	0.46	Marker	FNL	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1299091	1	1	9439	U	2018/12/14 13:10:35	2018/03/05	9457	9153	TW0002395001		Advantech	TW	3571		36	EQS	Ordinary Shares	10	TWD	A	TWTSE		TW	TWTSE	XTAI		2395	L	ExDate	2018/07/09	Recdate	2018/07/10	Paydate	2018/08/08	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4869438	1	F						TWD	GrossDividend	6.59515558	NetDividend	6.59515558	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1269013	1	1	304288	U	2018/12/14 13:10:35	2018/02/02	206730	88363	TW0003443008		Global Unichip Corp	TW			136	EQS	Ordinary Shares	10.00000	TWD	A	TWTSE		TW	TWTSE	XTAI		3443	L	ExDate	2018/06/01	Recdate	2018/06/04	Paydate	2018/06/28	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4805713	1	F						TWD	GrossDividend	5	NetDividend	5	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon	0	Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1303304	1	1	3198679	U	2018/12/14 13:10:35	2018/03/13	2273712	142060	KYG014081064		Airtac International Group	TW			83	EQS	Ordinary Shares	10.00000	TWD	A	TWTSE		TW	TWTSE	XTAI		1590	L	ExDate	2018/08/30	Recdate	2018/08/31	Paydate	2018/10/05	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4886916	1	F						TWD	GrossDividend	7.16	NetDividend	7.16	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1351998	1	1	20032	U	2018/08/30 14:12:38	2018/06/01	19494	19070	SE0000163628		Elekta AB	SE	3845	0001451160	54	EQS	Ordinary Shares - Class B		SEK	A	SESSE		SE	SESSE	XSTO		EKTA B	L	ExDate	2018/08/31	Recdate	2018/09/03	Paydate	2018/09/06	Paydate2		FYEDate	2018/04/30	PeriodEndDate		OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	5026429	1	F						SEK	GrossDividend	0.7	NetDividend	0.49	Marker	INT	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	30	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1275611	1	1	286570	U	2018/09/18 08:15:32	2018/02/09	193580	87078	FI0009013429		Cargotec Corporation	FI	3537	0001436741	86	EQS	Ordinary Shares - Class B		EUR	A	FIHSE		FI	FIHSE	XHEL		CGCBV	L	ExDate	2018/09/19	Recdate	2018/09/20	Paydate	2018/09/27	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4824581	1	F						EUR	GrossDividend	0.52	NetDividend	0.41808	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	19.6	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1427854	1	1	47113	U	2018/11/08 13:09:10	2018/10/25	44737	41003	US9839191015	983919101	Xilinx, Inc.	US	3674	0000743988	136	EQS	Ordinary Shares	0.01	USD	A	USNASD		US	USNASD	XNAS	XNGS	XLNX	L	ExDate	2018/11/09	Recdate	2018/11/13	Paydate	2018/12/04	Paydate2		FYEDate		PeriodEndDate		OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/10/24	Exdate2		FXDate		C	5297330	1	F						USD	GrossDividend	0.36	NetDividend		Marker	INT	Frequency	QTR	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1280971	1	1	72465	I	2018/08/06 14:09:45	2018/02/15	62039	56346	JP3197700002		Optex Group Company Limited	JP			35	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6914	L	ExDate	2018/06/27	Recdate	2018/06/30	Paydate	2018/09/04	Paydate2		FYEDate	2018/12/31	PeriodEndDate	2018/06/30	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/02/14	Exdate2		FXDate		C	4835586	1	F						JPY	GrossDividend	15	NetDividend	11.95275	Marker	INT	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	20.315	Depfees		Coupon	0	Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1323894	1	1	66680	U	2018/10/10 14:12:20	2018/04/12	58857	53472	JP3932000007		Yaskawa Electric Corporation	JP	3621	0001297681	35	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6506	L	ExDate	2018/08/29	Recdate	2018/08/31	Paydate	2018/11/08	Paydate2		FYEDate	2019/02/28	PeriodEndDate	2018/08/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/04/12	Exdate2		FXDate		C	4946259	1	F						JPY	GrossDividend	26	NetDividend	20.7181	Marker	INT	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate	20.315	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1323895	1	1	66680	I	2018/10/10 14:12:20	2018/04/12	58857	53472	JP3932000007		Yaskawa Electric Corporation	JP	3621	0001297681	35	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6506	L	ExDate	2019/02/26	Recdate	2019/02/28	Paydate		Paydate2		FYEDate	2019/02/28	PeriodEndDate	2019/02/28	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/04/12	Exdate2		FXDate		C	4946260	1	F						JPY	GrossDividend	26	NetDividend	20.7181	Marker	FNL	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	T	TaxRate	20.315	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1329149	1	1	64573	I	2018/11/01 13:09:33	2018/04/26	57014	51644	JP3236200006		Keyence Corporation	JP	3825		35	EQS	Ordinary Shares		JPY	A	JPTSE		JP	JPTSE	XJPX		6861	L	ExDate	2019/03/18	Recdate	2019/03/20	Paydate		Paydate2		FYEDate	2019/03/20	PeriodEndDate	2019/03/20	OptElectionDate		ToDate		RegistrationDate		DeclarationDate	2018/04/26	Exdate2		FXDate		C	4963094	1	F						JPY	GrossDividend	100	NetDividend	79.685	Marker	FNL	Frequency	SMA	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	T	TaxRate	20.315	Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
DIV	1302466	1	1	9750	U	2018/12/14 13:10:35	2018/03/09	9769	9464	TW0002308004		Delta Electronic	TW	3699	0001134780	36	EQS	Ordinary Shares	10.00000	TWD	A	TWTSE		TW	TWTSE	XTAI		2308	L	ExDate	2018/07/02	Recdate	2018/07/03	Paydate	2018/07/27	Paydate2		FYEDate	2017/12/31	PeriodEndDate	2017/12/31	OptElectionDate		ToDate		RegistrationDate		DeclarationDate		Exdate2		FXDate		C	4883656	1	F						TWD	GrossDividend	5	NetDividend	5	Marker	FNL	Frequency	ANL	Tbaflag	F	NilDividend	F	DivRescind	F	RecindCashDiv	F	RecindStockDiv	F	Approxflag	F	TaxRate		Depfees		Coupon		Dapflag	N	InstallmentPayDate		DeclCurenCD		DeclGrossAmt																			
